feature,psi,baseline_mean,current_mean,status
V14,2.9148,-0.0001,-1.5095,retrain candidate
Amount,0.4122,88.1763,222.0231,retrain candidate
V17,0.4062,0.0004,-0.0168,retrain candidate
V18,0.0017,0.0001,-0.007,stable
V12,0.0017,0.0027,-0.0213,stable
V16,0.0014,-0.0011,0.0153,stable
V28,0.0014,0.0002,-0.0027,stable
V6,0.0013,-0.0012,-0.006,stable
V27,0.0013,-0.0001,0.0001,stable
hour_of_day,0.0012,14.5415,14.5615,stable
V19,0.0012,0.0007,-0.0088,stable
V8,0.001,-0.0004,-0.006,stable
V3,0.001,-0.0004,0.0015,stable
V1,0.001,0.0008,-0.0176,stable
V9,0.001,0.0007,-0.0045,stable
V15,0.0009,0.0007,-0.0122,stable
V13,0.0008,-0.0005,0.0129,stable
V2,0.0008,-0.0005,0.0111,stable
V5,0.0008,0.0002,-0.0002,stable
V26,0.0007,0.0001,0.0058,stable
V21,0.0006,0.0004,0.0097,stable
V10,0.0005,-0.0004,-0.0021,stable
V23,0.0005,0.0001,-0.001,stable
V24,0.0004,-0.0003,0.0021,stable
V4,0.0004,-0.0,-0.0003,stable
V11,0.0004,-0.0008,-0.0007,stable
V22,0.0004,0.0003,-0.004,stable
V7,0.0003,0.0001,0.0147,stable
V20,0.0003,-0.001,-0.0028,stable
V25,0.0001,-0.0007,0.0009,stable
